matchId,blueTeamDragonKills,blueTeamFirstBlood,redTeamDragonKills,blueTeamControlWardsPlaced_diff,blueTeamWardsPlaced_diff,blueTeamTotalKills_diff,blueTeamHeraldKills_diff,blueTeamTowersDestroyed_diff,blueTeamInhibitorsDestroyed_diff,blueTeamTurretPlatesDestroyed_diff,blueTeamMinionsKilled_diff,blueTeamJungleMinions_diff,blueTeamTotalGold_diff,blueTeamXp_diff,blueTeamTotalDamageToChamps_diff,blueWin
EUW1_6883562868,0,0,2,-2,3,-10,0,0,0,-11,-13,-28,-3606,-4528,793,0
EUW1_6883533060,0,1,2,3,7,7,0,2,0,-4,19,3,6530,4419,7856,0
EUW1_6882406128,1,0,1,-4,109,-5,0,-1,0,-4,-56,27,-3766,-1920,-11581,1
EUW1_6882360892,1,0,0,2,-37,3,0,0,0,-10,23,-21,3259,2267,3975,1
EUW1_6882344203,1,0,0,-5,3,1,1,1,0,-3,4,40,3025,552,1056,1
EUW1_6882327446,2,1,0,0,-105,-4,0,-2,0,-6,-107,24,-4676,-4476,-8682,1
EUW1_6882299492,2,0,0,-5,-2,9,0,3,0,4,87,39,8487,7631,15627,1
EUW1_6875328815,2,1,0,1,-4,23,0,2,0,2,19,13,11328,6485,13860,1
EUW1_6875253653,0,0,2,2,21,-2,0,0,0,2,23,3,-28,652,9255,1
EUW1_6875227667,1,1,0,0,-2,19,1,3,0,0,14,32,8915,6840,20471,1
EUW1_6875179292,0,1,2,9,11,-4,0,0,0,-2,14,8,-1247,-494,2414,1
EUW1_6875164665,0,0,2,-1,3,-3,-1,-1,0,-12,-31,8,-310,-1166,-9219,1
EUW1_6875107846,2,1,0,0,2,0,0,-3,0,-10,-114,-65,-4872,-5042,-1546,0
EUW1_6875096690,0,0,2,7,269,3,1,-1,0,-11,10,-4,2776,1847,6470,1
EUW1_6875084665,0,0,2,2,12,-4,0,0,0,-6,-68,25,-2339,-456,-1853,0
EUW1_6875071790,1,1,0,1,-192,5,0,0,0,-5,-34,-13,-379,-2453,9910,1
EUW1_6875056276,2,1,0,0,9,13,0,2,1,6,106,-4,9296,5725,6605,1
EUW1_6875019278,1,0,0,2,-1,5,1,-1,0,-7,-38,8,1273,639,756,0
EUW1_6875008761,1,0,1,-2,-10,-13,0,-4,0,-14,-98,-30,-7877,-5082,-12478,0
EUW1_6874988961,1,1,1,-6,39,-4,1,-1,0,-8,-38,12,-2800,-2381,-3740,1
EUW1_6874957924,0,1,2,-3,1,-9,-1,-2,0,-9,-30,-10,-5980,-6039,547,1
EUW1_6874945524,2,1,0,4,0,5,1,4,0,5,72,53,7997,5700,4289,1
EUW1_6874912479,2,1,0,-1,-7,-1,0,-1,0,-7,-48,33,-1813,130,-2209,0
EUW1_6874845621,2,1,0,-1,45,15,1,3,0,2,76,23,10220,7088,16866,1
EUW1_6874774843,1,0,0,-6,12,5,0,-1,0,-2,-33,4,1103,1332,2864,1
