matchId,blueTeamControlWardsPlaced_diff,blueTeamWardsPlaced_diff,blueTeamTotalKills_diff,blueTeamDragonKills_diff,blueTeamHeraldKills_diff,blueTeamTowersDestroyed_diff,blueTeamInhibitorsDestroyed_diff,blueTeamTurretPlatesDestroyed_diff,blueTeamFirstBlood_diff,blueTeamMinionsKilled_diff,blueTeamJungleMinions_diff,blueTeamTotalGold_diff,blueTeamXp_diff,blueWin
EUN1_3565475599,-1,2,1,0,0,0,0,5,-364,254,-29330,-1230,-3414,0
EUN1_3565449456,5,7,-10,1,0,-1,0,6,-372,224,-31409,-7060,-8504,1
EUN1_3563550306,0,-1,-5,1,-1,-1,0,6,-350,206,-29310,-6246,-8885,0
EUN1_3576047134,-2,-1,8,2,0,0,0,5,-316,310,-22321,3316,6036,1
EUN1_3576021090,-2,-1,5,2,1,1,0,7,-329,243,-24787,365,7861,1
EUN1_3575965471,4,-145,4,1,0,-2,0,13,-342,256,-27952,-4496,-3344,0
EUN1_3575936688,-2,-284,-1,1,0,-2,0,12,-367,173,-31753,-2468,-13852,0
EUN1_3575915709,0,-3,-3,1,1,-2,0,10,-337,224,-31213,-901,-8372,0
EUN1_3575898576,3,2,-4,0,0,-1,0,3,-317,236,-26585,-515,-2125,1
EUN1_3575843255,-1,-160,-2,0,0,-1,0,6,-388,291,-25448,-5301,4348,0
EUN1_3575825450,-3,-11,4,0,-1,1,0,2,-367,269,-27949,368,2798,1
EUN1_3575806232,1,-26,0,0,0,-1,0,6,-357,201,-28417,-1697,-5262,0
EUN1_3575653620,3,-7,-1,1,0,0,0,-2,-310,227,-25800,-2022,-4987,1
EUN1_3575640975,1,2,-9,-2,0,1,0,-2,-318,294,-28104,-4948,-13494,0
EUN1_3575641098,0,-6,-4,-2,0,2,0,4,-300,286,-29331,834,-6650,0
EUN1_3575624188,-1,-1,-2,0,0,0,0,8,-283,212,-29188,-535,-7918,1
EUN1_3576220441,1,6,-9,-1,0,-2,0,3,-293,242,-29497,-3780,-10609,1
EUN1_3575995845,0,288,6,1,0,2,0,1,-347,235,-21160,-3240,9298,1
EUN1_3575931086,-3,-11,0,-1,0,0,0,6,-334,199,-25809,-4192,-2279,0
EUN1_3575458258,0,1,-1,1,0,0,0,7,-342,305,-25678,-109,3474,0
EUN1_3575248796,-1,-337,6,-1,0,-1,0,10,-279,214,-27509,2923,-5953,1
EUN1_3574843996,-4,5,3,0,0,0,0,0,-298,273,-27317,3063,1042,1
EUN1_3574488348,6,-4,3,2,0,1,0,1,-341,219,-29393,2671,-3503,1
EUN1_3574452328,6,5,-1,-2,0,1,0,-2,-360,260,-26449,-2612,-3155,0
EUN1_3573687926,-1,-73,5,-1,0,1,0,-3,-293,195,-24650,-449,-700,1
EUN1_3572608635,-1,-17,-10,-2,0,-2,0,12,-336,198,-29009,-7663,-10913,0
EUN1_3570742988,-3,-250,1,-2,1,0,0,2,-358,247,-25591,-2179,-1116,1
EUN1_3570728693,0,-6,-2,-2,0,-2,0,8,-356,210,-32079,-3802,-7946,0
EUN1_3576244473,-3,-8,-9,-1,0,-1,0,11,-335,220,-30801,-6875,-11870,0
EUN1_3575975592,6,22,6,2,0,-1,0,6,-292,221,-25021,1778,-2376,1
EUN1_3575925916,-2,17,-10,2,0,-1,0,7,-357,293,-27257,-7467,-7531,0
EUN1_3575902739,-3,-68,7,0,1,-2,0,13,-327,207,-29728,1002,-7228,1
EUN1_3575844571,3,7,8,2,1,0,0,7,-325,243,-25735,2252,968,1
EUN1_3575821880,4,13,8,0,0,1,0,2,-312,264,-27239,2209,-4649,1
EUN1_3575758143,-6,-9,-10,-1,0,-3,0,16,-370,228,-31316,-7649,-10054,0
EUN1_3575725377,4,-3,1,2,0,0,0,3,-312,235,-26764,-2538,-6269,1
EUN1_3575704050,-3,-4,1,-2,1,0,0,-2,-334,265,-26886,-1763,4602,1
EUN1_3573550939,-5,-5,1,0,0,0,0,5,-323,255,-28931,2295,-6153,1
EUN1_3573197284,1,12,5,0,0,0,0,4,-274,252,-24586,1010,-354,0
EUN1_3573172689,-1,-17,15,1,0,2,0,-2,-298,268,-23349,4258,2807,1
EUN1_3573138234,1,47,-2,0,0,0,0,4,-347,282,-24675,-3963,3187,0
EUN1_3573119385,-1,1,-8,-2,0,-1,0,5,-350,235,-29582,-5220,-2617,0
EUN1_3573077377,-1,19,-8,-2,0,-3,0,14,-400,243,-29666,-9462,-2309,0
EUN1_3573023982,5,2,13,2,1,2,0,-5,-261,296,-23130,5293,-2797,1
EUN1_3573011984,2,-5,16,2,0,2,0,0,-248,316,-23852,9387,3489,1
EUN1_3573002060,1,-6,14,2,-1,0,0,0,-326,226,-25228,535,4133,1
EUN1_3572974002,-1,-4,7,1,0,0,0,6,-331,257,-27776,3890,-10026,1
EUN1_3572528927,-2,10,-1,-1,0,1,0,-1,-338,287,-25790,21,-5667,0
EUN1_3564350351,1,-7,-20,1,0,-3,0,12,-403,271,-34880,-8160,-14313,0
